Bus Voltage,Power,Current
4.50 V,698.00 mW,155.40 mA
4.50 V,704.00 mW,155.40 mA
4.50 V,702.00 mW,155.80 mA
4.50 V,708.00 mW,156.00 mA
4.51 V,704.00 mW,156.00 mA
4.50 V,708.00 mW,156.10 mA
4.51 V,704.00 mW,156.00 mA
4.50 V,708.00 mW,155.40 mA
4.78 V,338.00 mW,129.00 mA
4.50 V,704.00 mW,155.80 mA
4.50 V,702.00 mW,155.20 mA
4.50 V,704.00 mW,155.40 mA
4.50 V,702.00 mW,156.30 mA
4.50 V,704.00 mW,156.40 mA
4.51 V,704.00 mW,156.00 mA
4.51 V,708.00 mW,156.60 mA
4.51 V,704.00 mW,156.10 mA
4.50 V,704.00 mW,155.90 mA
4.50 V,698.00 mW,155.30 mA
4.50 V,702.00 mW,156.20 mA
4.50 V,702.00 mW,155.70 mA
